GENE_ID	WTCHG_217386_229230	WTCHG_217386_249229	WTCHG_227074_204206	WTCHG_227074_204230	WTCHG_227074_204254	WTCHG_227074_204278	WTCHG_227074_208205	WTCHG_227074_208229	WTCHG_227074_208253	WTCHG_227074_208277	WTCHG_227074_228206	WTCHG_227074_228230	WTCHG_227074_228254	WTCHG_227074_228278	WTCHG_227074_232206	WTCHG_227074_232230	WTCHG_227074_232254	WTCHG_227074_232278	WTCHG_227074_252205	WTCHG_227074_252229	WTCHG_227074_252253	WTCHG_227074_252277	WTCHG_227074_256206	WTCHG_227074_256230	WTCHG_227074_256254	WTCHG_227074_256278	WTCHG_230414_204206	WTCHG_230414_204230	WTCHG_230414_204254	WTCHG_230414_204278	WTCHG_230414_208205	WTCHG_230414_208229	WTCHG_230414_208253	WTCHG_230414_208277	WTCHG_230414_228206	WTCHG_230414_228230	WTCHG_230414_228254	WTCHG_230414_228278	WTCHG_230414_232206	WTCHG_230414_232230	WTCHG_230414_232254	WTCHG_230414_232278	WTCHG_230414_252205	WTCHG_230414_252229	WTCHG_230414_252253	WTCHG_230414_252277	WTCHG_230414_256206	WTCHG_230414_256230	WTCHG_230414_256254	WTCHG_230414_256278
ENSG00000000003	0	0	0	0	1	0	0	0	0	4	3	17	1	0	11	0	0	0	0	0	0	0	0	19	31	0	1	12	7	0	0	0	0	0	15	2	0	2	0	0	0	0	10	0	0	0	0	0	0	9
ENSG00000000419	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	9	2	0	1	3	8	0	0	3	0	5	0	12	0	2	0	6	0	0	0	0	6	0	0	3	0	0	3	4	0
ENSG00000000457	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ENSG00000000460	1	37	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000000938	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	11	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
ENSG00000001036	3	20	0	0	0	0	0	0	18	2	0	17	0	18	0	0	18	0	0	0	0	0	16	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	13	5	0	8	4	8	0	10	0	0	0	0
ENSG00000001084	0	0	3	2	0	0	1	4	0	0	0	3	0	0	2	0	0	28	25	0	0	10	0	18	0	19	0	1	0	0	0	0	0	17	15	0	0	0	10	0	0	0	0	2	0	0	0	14	0	0
ENSG00000001167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001460	5	0	0	0	0	0	0	1	7	0	36	9	0	12	1	16	0	0	23	8	1	0	0	23	5	0	1	0	0	0	12	0	2	1	14	0	8	0	0	3	0	0	0	0	0	0	0	0	14	0
ENSG00000001461	9	134	145	2	49	72	174	111	45	218	126	104	48	166	18	41	83	42	46	30	31	39	66	90	29	101	1	24	30	17	24	28	55	65	26	35	18	7	20	39	10	38	20	21	32	4	46	41	15	14
ENSG00000001497	0	0	23	0	0	33	0	0	0	53	0	0	0	0	1	0	0	46	12	19	2	0	1	0	0	76	22	13	14	0	8	12	0	0	9	0	0	4	0	0	7	19	1	0	5	2	2	9	19	1
ENSG00000001561	12	13	19	0	14	9	1	0	13	0	3	1	0	3	1	0	14	29	33	0	2	23	0	20	0	12	1	0	0	0	0	0	0	5	5	0	12	0	0	0	1	13	11	5	0	17	0	6	16	0
ENSG00000001617	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	13	4	16	1	1	8	0	1	3	0	1	1	0	0	0	2	0	1	13	0	6	2	0	8	27	11	9	11	7	1	5	2	6	4	0	2	6	0	4	3	0	0	2	1	0	12	33	6	7	0
ENSG00000001630	11	0	3	0	0	6	5	0	0	0	0	0	0	0	2	0	8	5	0	2	3	10	11	5	4	0	0	1	0	0	1	0	0	4	8	0	0	2	0	0	0	5	2	3	4	3	2	4	1	8
ENSG00000001631	5	1	0	0	0	0	0	0	1	0	4	0	0	11	1	0	13	0	0	0	0	0	2	0	0	0	7	3	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0
ENSG00000002016	0	0	0	0	0	0	0	14	0	0	0	0	0	0	2	0	0	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	53	61	53	31	23	65	43	18	11	57	95	22	34	28	9	23	8	27	9	8	29	23	82	13	17	27	0	11	8	0	3	1	8	11	11	12	15	0	40	7	0	19	26	19	0	5	14	11	11	7
ENSG00000002549	0	0	0	0	6	0	12	17	0	0	2	0	2	0	6	0	26	15	8	0	29	36	0	13	0	1	1	13	9	0	23	1	4	0	0	0	0	0	30	1	1	0	13	0	0	0	0	5	0	19
ENSG00000002587	0	0	3	0	0	16	33	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	7	11
ENSG00000002726	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	0	0	0	0	0	0	7	0	2	16	34	0	0	2	0	0	15	2	0	0	5	1	8	0	0	0	1	0	4	13	9	2	1	0	0	0	0	9	0	0	0	11	10	1	0	0	0	1	0
ENSG00000002822	0	0	16	18	0	0	0	22	0	55	38	0	0	20	0	1	0	16	0	20	38	0	12	4	3	13	1	0	7	6	1	0	26	0	0	0	0	0	0	7	0	0	0	11	0	0	0	0	5	0
ENSG00000002834	23	119	23	20	0	0	9	36	0	32	1	28	0	39	9	18	33	23	37	2	6	23	0	84	27	29	0	0	16	5	0	0	0	0	0	10	3	9	77	3	0	0	35	0	0	8	1	1	0	17
ENSG00000002919	0	0	0	4	1	0	23	0	0	0	0	0	0	0	0	0	40	0	27	5	17	64	0	0	10	0	0	0	0	9	0	26	0	0	0	0	0	0	27	5	1	0	0	0	0	0	0	0	0	0
ENSG00000002933	0	0	58	21	0	27	0	41	31	25	34	50	33	23	0	2	0	0	31	0	19	0	28	0	23	2	11	8	14	0	11	6	0	0	0	0	0	2	33	0	9	0	43	27	6	9	23	5	0	2
ENSG00000003056	20	0	38	3	0	0	3	0	35	24	1	0	17	42	0	4	0	0	12	0	0	0	0	0	36	0	0	0	10	0	18	0	9	11	24	0	0	0	0	1	0	5	0	21	2	0	10	13	7	20
ENSG00000003096	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ENSG00000003137	0	0	0	1	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	18	0	1	0	6	0	0	0	2	12	0	0	0	9	0	0	1	3	4	0	17	0	0	0	0	0	1	0	0	0
ENSG00000003147	28	2	13	2	0	1	0	1	12	5	1	0	0	39	0	4	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	2	7	0	0	13	6	0	1	5	0	0	0	30	1	0	0
ENSG00000003249	52	40	12	58	2	83	0	12	0	8	0	36	35	0	8	0	6	31	29	13	43	28	34	0	22	28	11	0	0	0	4	0	1	0	23	0	0	11	2	41	0	26	61	16	0	0	22	24	19	23
ENSG00000003393	0	0	9	0	0	0	0	1	0	0	0	0	0	0	8	18	3	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	22	13	0	0	4	0	0	0	1	1	0	0
ENSG00000003400	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1
ENSG00000003402	0	1	1	48	0	3	7	12	35	2	3	10	22	0	0	4	23	17	0	14	0	4	7	0	0	1	14	0	0	0	6	1	3	1	1	12	0	0	0	3	13	3	9	0	0	0	14	16	3	4
ENSG00000003436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000003509	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	28	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0
ENSG00000003756	1	0	0	24	0	1	0	1	69	120	5	25	0	36	2	9	0	5	24	12	0	0	22	14	0	0	5	24	3	18	8	0	6	0	1	7	21	4	0	0	0	0	41	0	19	0	29	10	0	0
ENSG00000003987	0	3	0	5	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	12	0	0	0	0
ENSG00000003989	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004059	124	136	73	38	51	31	102	90	22	83	88	79	43	47	27	51	2	43	44	30	24	95	65	39	49	28	28	33	14	12	0	10	35	12	13	16	25	10	66	21	3	16	86	35	25	40	38	14	14	14
ENSG00000004139	29	0	0	1	0	0	52	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	14	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ENSG00000004142	57	56	62	0	0	0	0	10	35	87	41	13	37	0	26	12	0	14	0	33	0	24	7	19	0	30	54	1	0	20	5	2	31	19	1	0	20	8	39	7	16	1	29	0	8	0	0	6	10	22
ENSG00000004399	6	64	15	13	0	43	4	12	0	4	17	1	5	0	3	8	3	1	22	2	3	1	2	39	12	0	0	0	0	25	0	0	0	0	0	33	3	1	37	12	30	7	0	0	2	0	27	0	0	22
ENSG00000004455	13	70	20	31	3	14	17	0	24	17	3	25	20	72	7	1	1	29	11	12	4	37	28	18	46	12	8	0	10	0	1	14	1	0	11	0	0	2	34	0	9	8	1	19	0	13	0	5	1	7
ENSG00000004468	0	0	0	1	0	0	0	0	0	0	5	0	1	0	3	0	12	0	0	0	0	0	0	7	0	0	0	0	23	0	0	0	0	1	0	10	0	0	0	1	0	0	11	1	0	5	0	0	0	5
ENSG00000004478	67	48	40	18	40	85	99	22	73	35	52	18	28	12	19	46	46	13	97	12	42	8	13	13	7	17	34	33	19	4	28	14	17	2	17	14	23	7	0	3	5	8	24	8	17	30	0	15	3	17
ENSG00000004487	51	18	0	12	13	3	0	0	0	5	4	0	0	0	0	8	0	1	1	6	0	22	0	2	0	1	1	17	0	3	0	0	10	1	12	0	0	3	0	2	0	0	0	6	4	1	14	8	4	0
ENSG00000004534	1	0	47	0	14	0	31	21	0	0	1	1	0	0	4	0	0	1	8	0	38	0	0	1	0	1	5	11	2	0	6	2	0	8	0	7	4	2	2	16	3	10	4	3	0	0	0	12	0	1
ENSG00000004660	0	0	15	2	57	76	1	24	59	56	0	26	0	0	10	29	0	28	77	0	0	37	0	19	10	0	0	4	0	8	0	9	5	11	7	0	0	0	0	9	7	28	8	0	18	0	36	6	0	15
ENSG00000004700	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004766	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	1	0	3	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ENSG00000004776	1	0	25	6	0	10	13	17	6	2	2	1	3	4	0	26	3	12	0	4	2	9	15	2	5	3	3	0	0	1	2	4	2	3	8	0	3	2	0	0	1	0	0	0	4	0	0	1	0	2
ENSG00000004777	11	2	0	6	0	0	6	0	31	0	47	0	0	0	0	0	1	0	0	0	0	9	6	2	20	0	0	0	0	2	0	9	6	3	17	4	0	7	11	1	1	4	0	1	0	0	0	3	10	0
ENSG00000004779	55	0	66	17	20	19	48	54	21	17	21	49	24	29	6	32	20	33	21	14	20	40	12	38	29	9	6	18	13	2	13	19	4	8	3	9	2	5	34	9	13	5	18	13	2	4	4	10	12	2
ENSG00000004799	23	0	73	1	17	105	1	0	23	0	15	55	1	15	10	2	40	0	0	38	19	38	2	46	49	0	0	0	6	0	33	10	0	4	27	4	0	15	9	8	2	0	27	0	8	22	12	12	18	0
ENSG00000004838	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0
ENSG00000004848	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864	0	0	32	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	7	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	9	0	0	0	0	4	2	0	1	0	0	2	0
ERCC-00002	629	803	522	388	683	723	358	441	818	701	447	328	725	677	100	216	613	629	387	196	700	688	359	470	683	516	294	186	254	196	147	174	363	272	307	184	308	185	361	244	181	344	317	247	281	334	262	168	285	329
ERCC-00003	13	27	26	21	30	15	7	0	7	64	16	29	16	37	2	0	21	40	2	22	33	72	15	5	67	42	15	11	12	3	10	5	13	5	28	22	14	12	41	6	25	30	1	4	13	26	1	7	10	34
ERCC-00004	61	49	115	59	99	140	37	63	51	142	31	79	102	130	24	19	122	127	89	40	128	150	65	87	143	95	44	37	52	33	41	23	67	64	56	35	42	35	22	19	37	85	18	17	34	105	28	38	44	61
ERCC-00009	183	202	41	1	215	80	29	25	31	165	1	27	140	153	1	13	64	63	25	14	163	114	37	1	23	89	22	30	35	26	17	3	44	33	44	6	81	19	62	13	35	75	42	54	31	2	5	3	54	35
ERCC-00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ERCC-00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
ERCC-00022	11	21	14	3	35	0	10	0	0	22	12	0	0	55	0	0	0	18	7	2	28	0	3	7	20	0	2	0	6	5	4	0	1	2	9	2	0	0	0	0	0	0	0	0	17	7	6	6	2	0
ERCC-00025	0	67	0	0	1	41	0	30	48	0	0	0	0	35	0	0	0	1	0	0	0	23	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	28	1	0	0	0	0	3	0	0
ERCC-00028	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00034	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00035	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	12	0	20	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	10	0	0	0	0	0	12	1	10
ERCC-00039	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00042	44	77	14	44	68	1	4	29	10	2	5	7	35	9	12	7	87	107	20	3	31	70	19	10	61	52	15	12	12	9	13	12	45	30	1	5	17	12	12	2	16	13	7	8	19	59	18	0	16	24
ERCC-00043	3	5	22	0	9	11	0	0	4	21	4	18	9	32	2	0	3	8	2	5	79	13	17	26	20	40	1	5	4	1	8	2	27	3	8	0	1	2	0	4	8	36	3	2	3	18	2	4	2	9
ERCC-00044	0	0	0	0	0	0	0	1	40	0	1	0	75	0	1	0	0	23	2	3	0	0	0	0	0	1	0	1	16	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	9	0	0	0	0
ERCC-00046	49	46	113	65	108	108	22	43	46	140	32	109	74	123	23	26	99	128	61	20	137	128	55	66	122	125	30	22	43	24	47	11	51	26	55	35	43	30	22	32	34	61	29	17	38	90	27	30	32	55
ERCC-00051	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0
ERCC-00053	0	0	0	0	0	0	0	0	0	2	5	0	5	0	0	0	0	0	0	1	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ERCC-00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ERCC-00059	36	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	7	0	0	11	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ERCC-00060	2	1	10	7	1	6	0	0	5	1	0	5	0	9	1	1	10	13	3	0	19	17	11	2	12	9	4	0	1	5	1	0	1	4	0	0	1	3	0	0	0	3	1	2	3	6	0	2	3	10
ERCC-00062	0	0	0	7	0	1	0	0	2	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	7	5	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	10	0	0	0	10	0	0	0	6
ERCC-00071	21	0	7	0	3	0	2	0	0	21	0	0	0	14	0	4	0	0	0	0	24	0	0	0	1	6	0	0	0	0	0	0	0	2	5	0	0	1	0	0	7	4	0	0	0	7	0	0	0	2
ERCC-00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ERCC-00074	274	209	281	212	291	402	136	187	143	345	100	228	295	411	61	86	363	388	238	155	364	361	214	220	382	340	204	199	212	163	175	107	275	195	172	183	234	141	117	132	165	283	104	106	175	307	131	150	161	276
ERCC-00076	22	0	0	0	11	31	0	24	43	44	20	26	13	40	0	4	11	3	14	11	12	33	10	20	7	10	8	7	5	0	6	0	0	0	0	13	0	9	0	0	8	24	7	1	0	15	20	15	0	0
ERCC-00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ERCC-00078	0	0	0	0	0	0	0	18	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ERCC-00079	0	0	1	0	1	11	8	0	0	39	0	0	1	0	0	0	0	0	8	0	0	0	0	15	6	6	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0
ERCC-00084	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	19	25	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
ERCC-00085	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	16	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00092	11	89	8	4	0	97	0	33	69	0	16	0	30	1	0	0	14	65	43	6	24	54	25	0	12	1	23	0	0	0	13	8	7	1	25	1	13	7	0	7	0	0	0	27	20	12	0	22	11	20
ERCC-00095	6	10	11	4	5	11	2	4	10	3	0	0	7	9	0	3	17	7	0	0	0	30	0	4	4	2	0	0	0	0	0	0	7	0	0	3	0	2	1	0	4	0	0	0	0	0	0	0	4	0
ERCC-00096	596	744	592	465	767	828	514	570	845	907	494	407	836	764	127	366	716	775	403	232	740	753	447	448	778	665	294	228	331	248	167	292	350	269	292	213	309	232	492	246	211	474	315	279	255	398	419	314	363	443
ERCC-00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	1	6	0	0	0	0	0	0	0	0
ERCC-00108	211	101	49	57	127	86	98	201	115	207	59	99	147	306	10	20	199	168	66	43	7	287	131	50	326	68	59	27	47	18	8	6	1	10	1	71	121	80	40	3	13	105	11	63	68	11	8	30	68	101
ERCC-00111	65	7	0	10	23	87	26	14	21	52	6	3	67	82	2	17	18	16	17	13	54	22	0	39	17	70	19	0	13	6	3	0	1	0	21	0	35	14	1	0	30	15	0	5	59	26	1	2	16	21
ERCC-00112	0	0	0	1	25	1	28	0	8	0	0	0	28	25	0	27	4	31	13	7	0	3	0	0	11	30	2	0	4	0	0	0	14	0	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	22
ERCC-00113	208	377	137	106	237	393	59	210	242	347	152	106	336	353	10	55	138	277	176	51	391	325	167	93	285	237	106	86	88	68	90	46	98	100	65	100	132	97	98	64	49	187	94	67	78	138	65	61	99	124
ERCC-00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ERCC-00130	606	631	566	411	663	760	299	458	610	825	328	391	653	781	169	221	625	677	346	260	664	665	440	396	681	549	234	166	286	174	175	165	284	216	291	155	290	145	350	147	184	403	162	167	273	407	320	159	225	327
ERCC-00131	0	0	0	13	14	28	0	0	0	31	1	0	12	49	2	2	10	22	0	0	1	11	0	0	22	21	0	0	0	0	0	0	4	4	0	1	2	0	3	0	0	0	0	1	0	0	0	1	0	5
ERCC-00136	78	100	98	47	87	283	41	89	65	134	23	44	169	152	29	15	54	221	66	23	154	188	39	82	150	130	34	28	35	27	53	11	37	29	34	21	79	23	73	2	18	45	6	17	38	59	17	36	46	74
ERCC-00142	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00143	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ERCC-00144	0	10	0	0	0	0	1	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0
ERCC-00145	1	98	18	0	30	50	0	49	7	1	0	0	4	3	0	8	9	41	50	13	22	44	16	0	21	49	5	8	3	8	1	1	14	4	12	12	2	3	1	11	1	27	11	3	5	10	12	0	13	15
ERCC-00148	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ERCC-00150	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00160	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00162	4	2	0	0	1	7	0	1	0	0	0	0	0	4	2	0	0	8	3	0	0	0	0	0	11	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	3	4	0	0
ERCC-00165	26	0	0	0	0	0	0	0	0	0	0	14	0	18	1	0	25	0	0	0	1	1	0	21	1	18	0	0	3	0	0	0	0	0	0	0	0	5	1	0	0	15	0	0	0	0	0	9	0	0
ERCC-00170	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ERCC-00171	106	157	119	65	148	134	44	79	205	201	56	30	183	187	10	30	122	104	83	23	127	144	73	53	108	107	45	26	55	33	23	44	30	37	28	34	76	35	29	18	43	87	70	57	36	106	52	7	50	48
